timestamp,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningarea,discrete_visit_planningregion,discrete_visit_subzone
2018-01-01T00:00:00.000+08:00,96968,1071102,BM,CR,BMSZ01
2018-01-01T00:00:00.000+08:00,18918,277132,BM,CR,BMSZ02
2018-01-01T00:00:00.000+08:00,14712,100543,BM,CR,BMSZ03
2018-01-01T00:00:00.000+08:00,46197,394151,BM,CR,BMSZ04
2018-01-01T00:00:00.000+08:00,21460,245515,BM,CR,BMSZ05
2018-01-01T00:00:00.000+08:00,17520,163303,BM,CR,BMSZ06
2018-01-01T00:00:00.000+08:00,52086,795627,BM,CR,BMSZ07
2018-01-01T00:00:00.000+08:00,23660,379939,BM,CR,BMSZ08
2018-01-01T00:00:00.000+08:00,46683,659309,BM,CR,BMSZ09
2018-01-01T00:00:00.000+08:00,35583,345110,BM,CR,BMSZ10
2018-01-01T00:00:00.000+08:00,33187,296282,BM,CR,BMSZ11
2018-01-01T00:00:00.000+08:00,7277,53760,BM,CR,BMSZ12
2018-01-01T00:00:00.000+08:00,21025,454727,BM,CR,BMSZ13
2018-01-01T00:00:00.000+08:00,20241,327434,BM,CR,BMSZ14
2018-01-01T00:00:00.000+08:00,19356,304387,BM,CR,BMSZ15
2018-01-01T00:00:00.000+08:00,44491,470698,BM,CR,BMSZ16
2018-01-01T00:00:00.000+08:00,62969,453501,BM,CR,BMSZ17
2018-01-01T00:00:00.000+08:00,49411,1143881,BS,CR,BSSZ01
2018-01-01T00:00:00.000+08:00,42281,536522,BS,CR,BSSZ02
2018-01-01T00:00:00.000+08:00,93381,981877,BS,CR,BSSZ03
2018-01-01T00:00:00.000+08:00,50921,1007888,BT,CR,BTSZ01
2018-01-01T00:00:00.000+08:00,16452,240044,BT,CR,BTSZ02
2018-01-01T00:00:00.000+08:00,15278,349286,BT,CR,BTSZ03
2018-01-01T00:00:00.000+08:00,14558,344083,BT,CR,BTSZ04
2018-01-01T00:00:00.000+08:00,56009,404278,BT,CR,BTSZ05
2018-01-01T00:00:00.000+08:00,43582,647698,BT,CR,BTSZ06
2018-01-01T00:00:00.000+08:00,21669,431040,BT,CR,BTSZ07
2018-01-01T00:00:00.000+08:00,17863,219767,BT,CR,BTSZ08
2018-01-01T00:00:00.000+08:00,114998,725078,DT,CR,DTSZ01
2018-01-01T00:00:00.000+08:00,106512,685650,DT,CR,DTSZ02
2018-01-01T00:00:00.000+08:00,109854,926539,DT,CR,DTSZ03
2018-01-01T00:00:00.000+08:00,13973,56051,DT,CR,DTSZ04
2018-01-01T00:00:00.000+08:00,61926,296366,DT,CR,DTSZ05
2018-01-01T00:00:00.000+08:00,44561,249707,DT,CR,DTSZ06
2018-01-01T00:00:00.000+08:00,3645,38808,DT,CR,DTSZ07
2018-01-01T00:00:00.000+08:00,32971,239379,DT,CR,DTSZ08
2018-01-01T00:00:00.000+08:00,19416,180959,DT,CR,DTSZ09
2018-01-01T00:00:00.000+08:00,18229,211968,DT,CR,DTSZ10
2018-01-01T00:00:00.000+08:00,28285,234178,DT,CR,DTSZ11
2018-01-01T00:00:00.000+08:00,98022,935960,DT,CR,DTSZ12
2018-01-01T00:00:00.000+08:00,50765,743949,GL,CR,GLSZ01
2018-01-01T00:00:00.000+08:00,40023,669453,GL,CR,GLSZ02
2018-01-01T00:00:00.000+08:00,82729,1125734,GL,CR,GLSZ03
2018-01-01T00:00:00.000+08:00,182358,3865888,GL,CR,GLSZ04
2018-01-01T00:00:00.000+08:00,105984,1717767,GL,CR,GLSZ05
2018-01-01T00:00:00.000+08:00,113721,1651095,KL,CR,KLSZ01
2018-01-01T00:00:00.000+08:00,31419,384326,KL,CR,KLSZ02
2018-01-01T00:00:00.000+08:00,15210,179330,KL,CR,KLSZ03
2018-01-01T00:00:00.000+08:00,31288,107835,KL,CR,KLSZ04
2018-01-01T00:00:00.000+08:00,81258,713553,KL,CR,KLSZ05
2018-01-01T00:00:00.000+08:00,112008,1210460,KL,CR,KLSZ06
2018-01-01T00:00:00.000+08:00,83722,883694,KL,CR,KLSZ07
2018-01-01T00:00:00.000+08:00,37005,297724,KL,CR,KLSZ08
2018-01-01T00:00:00.000+08:00,63603,765351,KL,CR,KLSZ09
2018-01-01T00:00:00.000+08:00,48785,187939,ME,CR,MESZ01
2018-01-01T00:00:00.000+08:00,32353,630970,MP,CR,MPSZ01
2018-01-01T00:00:00.000+08:00,38992,630150,MP,CR,MPSZ02
2018-01-01T00:00:00.000+08:00,71608,1483715,MP,CR,MPSZ03
2018-01-01T00:00:00.000+08:00,33507,168060,MS,CR,MSSZ01
2018-01-01T00:00:00.000+08:00,81016,296487,MU,CR,MUSZ01
2018-01-01T00:00:00.000+08:00,37778,177741,MU,CR,MUSZ02
2018-01-01T00:00:00.000+08:00,22924,184243,MU,CR,MUSZ03
2018-01-01T00:00:00.000+08:00,30753,300372,NT,CR,NTSZ01
2018-01-01T00:00:00.000+08:00,6180,63577,NT,CR,NTSZ02
2018-01-01T00:00:00.000+08:00,29977,146405,NT,CR,NTSZ03
2018-01-01T00:00:00.000+08:00,28824,528266,NT,CR,NTSZ04
2018-01-01T00:00:00.000+08:00,8266,13383,NT,CR,NTSZ05
2018-01-01T00:00:00.000+08:00,12574,100910,NT,CR,NTSZ06
2018-01-01T00:00:00.000+08:00,102430,1638735,NV,CR,NVSZ01
2018-01-01T00:00:00.000+08:00,85273,994093,NV,CR,NVSZ02
2018-01-01T00:00:00.000+08:00,27401,312271,NV,CR,NVSZ03
2018-01-01T00:00:00.000+08:00,39816,183161,NV,CR,NVSZ04
2018-01-01T00:00:00.000+08:00,4571,37036,NV,CR,NVSZ05
2018-01-01T00:00:00.000+08:00,26368,426364,OR,CR,ORSZ01
2018-01-01T00:00:00.000+08:00,109736,1668186,OR,CR,ORSZ02
2018-01-01T00:00:00.000+08:00,101307,1139161,OR,CR,ORSZ03
2018-01-01T00:00:00.000+08:00,77568,747313,OT,CR,OTSZ01
2018-01-01T00:00:00.000+08:00,71912,150502,OT,CR,OTSZ02
2018-01-01T00:00:00.000+08:00,68874,743498,OT,CR,OTSZ03
2018-01-01T00:00:00.000+08:00,33847,224645,OT,CR,OTSZ04
2018-01-01T00:00:00.000+08:00,24847,343675,QT,CR,QTSZ01
2018-01-01T00:00:00.000+08:00,18811,351070,QT,CR,QTSZ02
2018-01-01T00:00:00.000+08:00,10344,149807,QT,CR,QTSZ03
2018-01-01T00:00:00.000+08:00,43181,316547,QT,CR,QTSZ04
2018-01-01T00:00:00.000+08:00,25422,439021,QT,CR,QTSZ05
2018-01-01T00:00:00.000+08:00,52379,740533,QT,CR,QTSZ06
2018-01-01T00:00:00.000+08:00,7495,74909,QT,CR,QTSZ07
2018-01-01T00:00:00.000+08:00,27481,264327,QT,CR,QTSZ08
2018-01-01T00:00:00.000+08:00,31348,277266,QT,CR,QTSZ09
2018-01-01T00:00:00.000+08:00,39243,400233,QT,CR,QTSZ10
2018-01-01T00:00:00.000+08:00,33097,488187,QT,CR,QTSZ11
2018-01-01T00:00:00.000+08:00,15806,117206,QT,CR,QTSZ12
2018-01-01T00:00:00.000+08:00,14398,267303,QT,CR,QTSZ13
2018-01-01T00:00:00.000+08:00,23718,366479,QT,CR,QTSZ14
2018-01-01T00:00:00.000+08:00,34880,759553,QT,CR,QTSZ15
2018-01-01T00:00:00.000+08:00,139734,1096516,RC,CR,RCSZ01
2018-01-01T00:00:00.000+08:00,106913,833034,RC,CR,RCSZ02
2018-01-01T00:00:00.000+08:00,79115,479597,RC,CR,RCSZ03
2018-01-01T00:00:00.000+08:00,27531,159389,RC,CR,RCSZ05
2018-01-01T00:00:00.000+08:00,28187,98244,RC,CR,RCSZ06
2018-01-01T00:00:00.000+08:00,8905,164994,RC,CR,RCSZ07
2018-01-01T00:00:00.000+08:00,35670,377197,RC,CR,RCSZ08
2018-01-01T00:00:00.000+08:00,38545,226359,RC,CR,RCSZ09
2018-01-01T00:00:00.000+08:00,65730,514852,RC,CR,RCSZ10
2018-01-01T00:00:00.000+08:00,9658,186528,RV,CR,RVSZ01
2018-01-01T00:00:00.000+08:00,2789,4000,RV,CR,RVSZ02
2018-01-01T00:00:00.000+08:00,13268,246407,RV,CR,RVSZ03
2018-01-01T00:00:00.000+08:00,40,40,RV,CR,RVSZ04
2018-01-01T00:00:00.000+08:00,34943,583702,RV,CR,RVSZ05
2018-01-01T00:00:00.000+08:00,78539,1483718,SI,CR,SISZ01
2018-01-01T00:00:00.000+08:00,7788,43157,SI,CR,SISZ02
2018-01-01T00:00:00.000+08:00,24625,349534,SR,CR,SRSZ01
2018-01-01T00:00:00.000+08:00,65239,496580,SR,CR,SRSZ02
2018-01-01T00:00:00.000+08:00,21931,154073,SR,CR,SRSZ03
2018-01-01T00:00:00.000+08:00,18206,113242,SV,CR,SVSZ01
2018-01-01T00:00:00.000+08:00,39949,839606,TN,CR,TNSZ01
2018-01-01T00:00:00.000+08:00,26328,450602,TN,CR,TNSZ02
2018-01-01T00:00:00.000+08:00,45719,489258,TN,CR,TNSZ03
2018-01-01T00:00:00.000+08:00,33182,277220,TN,CR,TNSZ04
2018-01-01T00:00:00.000+08:00,45904,532576,TP,CR,TPSZ01
2018-01-01T00:00:00.000+08:00,62887,1069169,TP,CR,TPSZ02
2018-01-01T00:00:00.000+08:00,22438,307706,TP,CR,TPSZ03
2018-01-01T00:00:00.000+08:00,18233,311095,TP,CR,TPSZ04
2018-01-01T00:00:00.000+08:00,48002,333150,TP,CR,TPSZ05
2018-01-01T00:00:00.000+08:00,17230,319480,TP,CR,TPSZ06
2018-01-01T00:00:00.000+08:00,5423,92480,TP,CR,TPSZ07
2018-01-01T00:00:00.000+08:00,28655,487091,TP,CR,TPSZ09
2018-01-01T00:00:00.000+08:00,12034,16389,TP,CR,TPSZ10
2018-01-01T00:00:00.000+08:00,15194,18974,TP,CR,TPSZ11
2018-01-01T00:00:00.000+08:00,29607,702586,TP,CR,TPSZ12
2018-01-01T00:00:00.000+08:00,76766,2256239,BD,ER,BDSZ01
2018-01-01T00:00:00.000+08:00,27968,543293,BD,ER,BDSZ02
2018-01-01T00:00:00.000+08:00,62330,1262994,BD,ER,BDSZ03
2018-01-01T00:00:00.000+08:00,112486,2435084,BD,ER,BDSZ04
2018-01-01T00:00:00.000+08:00,79718,1665677,BD,ER,BDSZ05
2018-01-01T00:00:00.000+08:00,75349,1486507,BD,ER,BDSZ06
2018-01-01T00:00:00.000+08:00,21507,253838,BD,ER,BDSZ07
2018-01-01T00:00:00.000+08:00,39960,358559,BD,ER,BDSZ08
2018-01-01T00:00:00.000+08:00,6106,48114,CB,ER,CBSZ01
2018-01-01T00:00:00.000+08:00,14695,187520,CH,ER,CHSZ01
2018-01-01T00:00:00.000+08:00,38671,460875,CH,ER,CHSZ02
2018-01-01T00:00:00.000+08:00,156063,2500369,CH,ER,CHSZ03
2018-01-01T00:00:00.000+08:00,27003,182939,PL,ER,PLSZ01
2018-01-01T00:00:00.000+08:00,22869,286682,PL,ER,PLSZ02
2018-01-01T00:00:00.000+08:00,18182,140863,PL,ER,PLSZ03
2018-01-01T00:00:00.000+08:00,13300,175967,PL,ER,PLSZ04
2018-01-01T00:00:00.000+08:00,8897,68595,PL,ER,PLSZ05
2018-01-01T00:00:00.000+08:00,16524,137275,PR,ER,PRSZ01
2018-01-01T00:00:00.000+08:00,36765,803548,PR,ER,PRSZ02
2018-01-01T00:00:00.000+08:00,45078,999354,PR,ER,PRSZ03
2018-01-01T00:00:00.000+08:00,12147,242874,PR,ER,PRSZ04
2018-01-01T00:00:00.000+08:00,52056,1398084,PR,ER,PRSZ05
2018-01-01T00:00:00.000+08:00,14216,285742,PR,ER,PRSZ06
2018-01-01T00:00:00.000+08:00,1046,32098,PR,ER,PRSZ07
2018-01-01T00:00:00.000+08:00,9986,315919,PR,ER,PRSZ08
2018-01-01T00:00:00.000+08:00,7772,46340,TM,ER,TMSZ01
2018-01-01T00:00:00.000+08:00,119565,2980726,TM,ER,TMSZ02
2018-01-01T00:00:00.000+08:00,75846,2096217,TM,ER,TMSZ03
2018-01-01T00:00:00.000+08:00,93999,1710955,TM,ER,TMSZ04
2018-01-01T00:00:00.000+08:00,83751,843338,TM,ER,TMSZ05
2018-01-01T00:00:00.000+08:00,59697,252073,CC,NR,CCSZ01
2018-01-01T00:00:00.000+08:00,19549,307436,LK,NR,LKSZ01
2018-01-01T00:00:00.000+08:00,2581,4801,MD,NR,MDSZ01
2018-01-01T00:00:00.000+08:00,17929,77613,MD,NR,MDSZ02
2018-01-01T00:00:00.000+08:00,471,11822,MD,NR,MDSZ03
2018-01-01T00:00:00.000+08:00,12969,227468,SB,NR,SBSZ01
2018-01-01T00:00:00.000+08:00,12524,217484,SB,NR,SBSZ02
2018-01-01T00:00:00.000+08:00,46725,788276,SB,NR,SBSZ03
2018-01-01T00:00:00.000+08:00,38003,1230692,SB,NR,SBSZ04
2018-01-01T00:00:00.000+08:00,13130,235637,SB,NR,SBSZ05
2018-01-01T00:00:00.000+08:00,10672,195812,SB,NR,SBSZ06
2018-01-01T00:00:00.000+08:00,9053,243101,SB,NR,SBSZ07
2018-01-01T00:00:00.000+08:00,33311,775599,SB,NR,SBSZ08
2018-01-01T00:00:00.000+08:00,49927,817452,SB,NR,SBSZ09
2018-01-01T00:00:00.000+08:00,46201,1203659,SK,NR,SKSZ01
2018-01-01T00:00:00.000+08:00,24874,111561,SK,NR,SKSZ02
2018-01-01T00:00:00.000+08:00,28814,902312,SK,NR,SKSZ03
2018-01-01T00:00:00.000+08:00,26692,780457,SK,NR,SKSZ04
2018-01-01T00:00:00.000+08:00,15877,427114,SK,NR,SKSZ05
2018-01-01T00:00:00.000+08:00,11430,657833,SM,NR,SMSZ01
2018-01-01T00:00:00.000+08:00,14714,121900,WD,NR,WDSZ01
2018-01-01T00:00:00.000+08:00,54061,929945,WD,NR,WDSZ02
2018-01-01T00:00:00.000+08:00,101138,2622216,WD,NR,WDSZ03
2018-01-01T00:00:00.000+08:00,33201,875935,WD,NR,WDSZ04
2018-01-01T00:00:00.000+08:00,42975,711183,WD,NR,WDSZ05
2018-01-01T00:00:00.000+08:00,56900,971586,WD,NR,WDSZ06
2018-01-01T00:00:00.000+08:00,2822,26879,WD,NR,WDSZ07
2018-01-01T00:00:00.000+08:00,43637,876002,WD,NR,WDSZ08
2018-01-01T00:00:00.000+08:00,103293,1254959,WD,NR,WDSZ09
2018-01-01T00:00:00.000+08:00,24633,234487,YS,NR,YSSZ01
2018-01-01T00:00:00.000+08:00,52438,1259508,YS,NR,YSSZ02
2018-01-01T00:00:00.000+08:00,34036,993838,YS,NR,YSSZ03
2018-01-01T00:00:00.000+08:00,52492,1141879,YS,NR,YSSZ04
2018-01-01T00:00:00.000+08:00,36056,317828,YS,NR,YSSZ05
2018-01-01T00:00:00.000+08:00,5685,138317,YS,NR,YSSZ06
2018-01-01T00:00:00.000+08:00,40253,195249,YS,NR,YSSZ07
2018-01-01T00:00:00.000+08:00,11787,191175,YS,NR,YSSZ08
2018-01-01T00:00:00.000+08:00,70856,1449766,YS,NR,YSSZ09
2018-01-01T00:00:00.000+08:00,18581,139460,AM,NER,AMSZ01
2018-01-01T00:00:00.000+08:00,54853,860506,AM,NER,AMSZ02
2018-01-01T00:00:00.000+08:00,45849,847657,AM,NER,AMSZ03
2018-01-01T00:00:00.000+08:00,40090,659613,AM,NER,AMSZ04
2018-01-01T00:00:00.000+08:00,23459,521342,AM,NER,AMSZ05
2018-01-01T00:00:00.000+08:00,22908,635168,AM,NER,AMSZ06
2018-01-01T00:00:00.000+08:00,14589,213941,AM,NER,AMSZ07
2018-01-01T00:00:00.000+08:00,28011,528915,AM,NER,AMSZ08
2018-01-01T00:00:00.000+08:00,23891,498076,AM,NER,AMSZ09
2018-01-01T00:00:00.000+08:00,49259,354668,AM,NER,AMSZ10
2018-01-01T00:00:00.000+08:00,13793,21900,AM,NER,AMSZ11
2018-01-01T00:00:00.000+08:00,34856,259517,AM,NER,AMSZ12
2018-01-01T00:00:00.000+08:00,22367,104197,HG,NER,HGSZ01
2018-01-01T00:00:00.000+08:00,45522,882086,HG,NER,HGSZ02
2018-01-01T00:00:00.000+08:00,27475,599910,HG,NER,HGSZ03
2018-01-01T00:00:00.000+08:00,54922,1371219,HG,NER,HGSZ04
2018-01-01T00:00:00.000+08:00,48431,988740,HG,NER,HGSZ05
2018-01-01T00:00:00.000+08:00,5674,124664,HG,NER,HGSZ06
2018-01-01T00:00:00.000+08:00,70330,1614221,HG,NER,HGSZ07
2018-01-01T00:00:00.000+08:00,63369,1112181,HG,NER,HGSZ08
2018-01-01T00:00:00.000+08:00,12585,19448,HG,NER,HGSZ09
2018-01-01T00:00:00.000+08:00,8759,88058,NE,NER,NESZ01
2018-01-01T00:00:00.000+08:00,21634,605614,PG,NER,PGSZ01
2018-01-01T00:00:00.000+08:00,29587,402875,PG,NER,PGSZ02
2018-01-01T00:00:00.000+08:00,52294,925574,PG,NER,PGSZ03
2018-01-01T00:00:00.000+08:00,50632,1333839,PG,NER,PGSZ04
2018-01-01T00:00:00.000+08:00,21969,718546,PG,NER,PGSZ05
2018-01-01T00:00:00.000+08:00,51979,1047573,SE,NER,SESZ02
2018-01-01T00:00:00.000+08:00,72857,1598226,SE,NER,SESZ03
2018-01-01T00:00:00.000+08:00,42842,1004127,SE,NER,SESZ04
2018-01-01T00:00:00.000+08:00,20581,279828,SE,NER,SESZ05
2018-01-01T00:00:00.000+08:00,43920,1072698,SE,NER,SESZ06
2018-01-01T00:00:00.000+08:00,43254,489443,SG,NER,SGSZ01
2018-01-01T00:00:00.000+08:00,19971,263616,SG,NER,SGSZ02
2018-01-01T00:00:00.000+08:00,29338,657491,SG,NER,SGSZ03
2018-01-01T00:00:00.000+08:00,42655,917163,SG,NER,SGSZ04
2018-01-01T00:00:00.000+08:00,21407,333891,SG,NER,SGSZ05
2018-01-01T00:00:00.000+08:00,88341,1186427,SG,NER,SGSZ06
2018-01-01T00:00:00.000+08:00,14703,202188,SG,NER,SGSZ07
2018-01-01T00:00:00.000+08:00,11192,106913,SL,NER,SLSZ01
2018-01-01T00:00:00.000+08:00,19994,691550,SL,NER,SLSZ03
2018-01-01T00:00:00.000+08:00,22600,96148,SL,NER,SLSZ04
2018-01-01T00:00:00.000+08:00,36935,321694,BK,WR,BKSZ01
2018-01-01T00:00:00.000+08:00,32517,745116,BK,WR,BKSZ02
2018-01-01T00:00:00.000+08:00,9851,211710,BK,WR,BKSZ04
2018-01-01T00:00:00.000+08:00,20593,596238,BK,WR,BKSZ05
2018-01-01T00:00:00.000+08:00,29673,445916,BK,WR,BKSZ06
2018-01-01T00:00:00.000+08:00,59974,813545,BK,WR,BKSZ07
2018-01-01T00:00:00.000+08:00,24646,489665,BK,WR,BKSZ08
2018-01-01T00:00:00.000+08:00,45413,826835,BK,WR,BKSZ09
2018-01-01T00:00:00.000+08:00,28878,327999,BL,WR,BLSZ01
2018-01-01T00:00:00.000+08:00,24860,310458,BL,WR,BLSZ02
2018-01-01T00:00:00.000+08:00,8080,149027,BL,WR,BLSZ03
2018-01-01T00:00:00.000+08:00,3173,45197,BL,WR,BLSZ04
2018-01-01T00:00:00.000+08:00,29006,408394,BP,WR,BPSZ01
2018-01-01T00:00:00.000+08:00,32084,641104,BP,WR,BPSZ02
2018-01-01T00:00:00.000+08:00,26843,477476,BP,WR,BPSZ03
2018-01-01T00:00:00.000+08:00,64272,618439,BP,WR,BPSZ04
2018-01-01T00:00:00.000+08:00,35208,594664,BP,WR,BPSZ05
2018-01-01T00:00:00.000+08:00,9388,149562,BP,WR,BPSZ06
2018-01-01T00:00:00.000+08:00,8442,67019,BP,WR,BPSZ07
2018-01-01T00:00:00.000+08:00,29840,511337,CK,WR,CKSZ01
2018-01-01T00:00:00.000+08:00,24458,596248,CK,WR,CKSZ02
2018-01-01T00:00:00.000+08:00,34879,651798,CK,WR,CKSZ03
2018-01-01T00:00:00.000+08:00,39363,629485,CK,WR,CKSZ04
2018-01-01T00:00:00.000+08:00,43484,1007438,CK,WR,CKSZ05
2018-01-01T00:00:00.000+08:00,43039,902336,CK,WR,CKSZ06
2018-01-01T00:00:00.000+08:00,28130,660475,CL,WR,CLSZ01
2018-01-01T00:00:00.000+08:00,19742,265783,CL,WR,CLSZ02
2018-01-01T00:00:00.000+08:00,6488,100196,CL,WR,CLSZ03
2018-01-01T00:00:00.000+08:00,49338,850593,CL,WR,CLSZ04
2018-01-01T00:00:00.000+08:00,3800,101841,CL,WR,CLSZ05
2018-01-01T00:00:00.000+08:00,59261,608256,CL,WR,CLSZ06
2018-01-01T00:00:00.000+08:00,27520,354141,CL,WR,CLSZ07
2018-01-01T00:00:00.000+08:00,30627,581507,CL,WR,CLSZ08
2018-01-01T00:00:00.000+08:00,7185,130999,CL,WR,CLSZ09
2018-01-01T00:00:00.000+08:00,56793,563618,JE,WR,JESZ01
2018-01-01T00:00:00.000+08:00,57941,759629,JE,WR,JESZ02
2018-01-01T00:00:00.000+08:00,55296,622593,JE,WR,JESZ03
2018-01-01T00:00:00.000+08:00,44254,381374,JE,WR,JESZ04
2018-01-01T00:00:00.000+08:00,59786,553703,JE,WR,JESZ05
2018-01-01T00:00:00.000+08:00,23459,193470,JE,WR,JESZ06
2018-01-01T00:00:00.000+08:00,43724,1588336,JE,WR,JESZ07
2018-01-01T00:00:00.000+08:00,33408,545954,JE,WR,JESZ08
2018-01-01T00:00:00.000+08:00,4253,82268,JE,WR,JESZ09
2018-01-01T00:00:00.000+08:00,20502,316120,JE,WR,JESZ10
2018-01-01T00:00:00.000+08:00,23645,346569,JW,WR,JWSZ01
2018-01-01T00:00:00.000+08:00,63821,959413,JW,WR,JWSZ02
2018-01-01T00:00:00.000+08:00,58551,1462855,JW,WR,JWSZ03
2018-01-01T00:00:00.000+08:00,73545,1404857,JW,WR,JWSZ04
2018-01-01T00:00:00.000+08:00,17107,157550,JW,WR,JWSZ05
2018-01-01T00:00:00.000+08:00,50686,1064588,JW,WR,JWSZ06
2018-01-01T00:00:00.000+08:00,2093,17971,JW,WR,JWSZ07
2018-01-01T00:00:00.000+08:00,73799,2042519,JW,WR,JWSZ08
2018-01-01T00:00:00.000+08:00,107478,2351415,JW,WR,JWSZ09
2018-01-01T00:00:00.000+08:00,45078,580462,PN,WR,PNSZ01
2018-01-01T00:00:00.000+08:00,12365,343630,PN,WR,PNSZ02
2018-01-01T00:00:00.000+08:00,14010,159161,PN,WR,PNSZ03
2018-01-01T00:00:00.000+08:00,4564,109802,PN,WR,PNSZ04
2018-01-01T00:00:00.000+08:00,7428,212730,PN,WR,PNSZ05
2018-01-01T00:00:00.000+08:00,2890,19643,TH,WR,THSZ01
2018-01-01T00:00:00.000+08:00,2230,9646,TS,WR,TSSZ01
2018-01-01T00:00:00.000+08:00,49199,1031156,TS,WR,TSSZ02
2018-01-01T00:00:00.000+08:00,21979,408663,TS,WR,TSSZ03
2018-01-01T00:00:00.000+08:00,17973,342629,TS,WR,TSSZ04
2018-01-01T00:00:00.000+08:00,39470,1379965,TS,WR,TSSZ05
2018-01-01T00:00:00.000+08:00,37639,1873278,TS,WR,TSSZ06
2018-01-01T00:00:00.000+08:00,60345,2006724,WC,WR,WCSZ01
2018-01-01T00:00:00.000+08:00,26970,561407,WI,WR,WISZ01
2018-01-01T00:00:00.000+08:00,821,14957,WI,WR,WISZ02
